;city;IVS (2010);IDHM;populacao_estimada_2020;city_ibge_code;cases_media_apr;deaths_media_apr;cases_media_ago;deaths_media_ago;cases_media_dec;deaths_media_dec
252;Itajobi;0.215;0.731;14627.695138559997;3521903;5.696955846014233;1.1393911692028462;31.31487987615565;0.22052732307151862;7.277401661360115;0.44105464614303724
253;Itaju;0.222;0.705;3664.0871085699996;3522000;;;64.26808751816093;0.0;7.923462844704773;0.0
254;Itanhaém;0.25;0.745;98897.00612553999;3522109;0.5729866745888538;0.0674101970104534;14.938969466510153;0.6197389079993295;16.047975933456325;0.32617837263122607
255;Itaoca;0.369;0.68;3177.7217843400003;3522158;;;10.15131805279451;0.0;6.090790831676707;0.0
256;Itapecerica da Serra;0.337;0.742;169838.93535055994;3522208;2.296293245097254;0.13738506594598954;10.560289861654864;0.6837597752150633;8.584983844366905;0.39885986887545355
257;Itapetininga;0.233;0.763;160286.73927325;3522307;0.33593642300227483;0.023995458785876774;9.458855043981103;0.1811270114804892;23.828264621433245;0.22137745847615348
258;Itapeva;0.265;0.732;91640.14184304;3522406;0.4960112952727571;0.0;7.286565931200439;0.0;19.325240078401162;1.3728312624000827
259;Itapevi;0.348;0.735;237961.41867488003;3522505;1.6809447608248995;0.2241259681099866;10.682132834919523;0.6100202761058103;5.951086693565572;0.17622807976390076
260;Itapira;0.184;0.762;71646.20581865999;3522604;0.9304982155705944;0.15508303592843242;23.412535746614957;0.4952651792553165;12.741822339023141;0.1350723216150863
261;Itapirapuã Paulista;0.428;0.661;4171.694135840001;3522653;;;20.87803452445845;0.0;33.250203131544936;0.0
262;Itápolis;0.274;0.743;41567.903676780006;3522703;;;14.589420183871145;0.3104131954015137;12.183717919509414;0.15520659770075684
263;Itaporanga;0.353;0.719;14682.320652999995;3522802;;;20.65244409368322;0.4394137041209195;3.295602780906897;0.0
264;Itapuí;0.261;0.725;13808.506420919997;3522901;;;28.26682109904511;0.0;10.278844036016405;0.0
265;Itapura;0.259;0.72;4922.90519716;3523008;;;13.76056063865519;0.0;2.6210591692676553;0.6552647923169138
266;Itaquaquecetuba;0.372;0.714;370918.05100032;3523107;1.1682724315106452;0.1348006651743052;7.992374922270096;0.4348408554009845;6.748730075823279;0.23481406191653167
267;Itararé;0.312;0.703;48984.5539404;3523206;0.14079033428637597;0.0;9.878031518479604;0.5926818911087763;19.887770123872272;0.3292677172826534
268;Itariri;0.338;0.677;17282.724986880003;3523305;2.1697967206252327;0.7232655735417443;6.719370489678141;0.0;21.46465573091628;0.5599475408065118
269;Itatiba;0.178;0.778;118375.83272515002;3523404;0.28158900821190475;0.03519862602648809;18.7211272878947;0.19075384427258066;20.49241298471152;0.027250549181797232
270;Itatinga;0.303;0.705;20565.361749920005;3523503;0.22102477946794333;0.0;15.058204330203106;0.31371259021256465;5.646826623826165;0.0
271;Itirapina;0.274;0.724;17185.2880336;3523602;0.8312758132295145;0.0;12.388691152001151;0.7508297667879485;18.39532928630474;0.5631223250909615
272;Itirapuã;0.198;0.707;6279.919650839999;3523701;;;1.5410100595067746;0.0;3.082020119013549;0.0
